firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant,m_i_7
12482,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,33.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,1.0,2.0,2.0,50.0,2.0
12612,20.0,3000000.0,0.0,1950000.0,300000.0,19,4,194.0,Unknown,Unknown,Unknown,6.0,2600000.0,2200000.0,1000000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
12745,3.0,0.0,0.0,0.0,0.0,12,4,124.0,36.0,8.0,4.0,10.0,250000.0,2000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
12946,20.0,6000000.0,200000.0,2800000.0,1500000.0,8,4,84.0,227.0,1.0,3.0,7.0,429000.0,4290000.0,90000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
12953,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,5.0,300000.0,400000.0,70000.0,1.0,0.0,0.0,1.0,2.0,50.0,2.0
13001,8.0,4200000.0,350000.0,2550000.0,650000.0,15,9,159.0,17.0,5.0,4.0,8.0,200000.0,1800000.0,70000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
13009,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,335.0,20.0,5.0,2.0,720000.0,4500000.0,120000.0,0.0,1.0,0.0,2.0,2.0,50.0,2.0
13012,20.0,6000000.0,600000.0,2400000.0,1500000.0,10,25,1025.0,19.0,15.0,6.0,61.0,2000000.0,10000000.0,800000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
13080,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
13131,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,200000.0,2200000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
13329,3.0,5000000.0,500000.0,2000000.0,1250000.0,5,3,53.0,10.0,3.0,2.0,5.0,1000000.0,8700000.0,700000.0,0.0,0.0,0.0,2.0,2.0,15.0,1.0
13361,2.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,55.0,10.0,2.0,2.0,250000.0,3300000.0,100000.0,0.0,1.0,0.0,2.0,2.0,50.0,2.0
13502,3.0,6000000.0,600000.0,2400000.0,1500000.0,11,6,116.0,176.0,25.0,7.0,8.0,683000.0,4000000.0,89000.0,0.0,0.0,0.0,2.0,2.0,10.0,1.0
13520,3.0,5600000.0,560000.0,2640000.0,1000000.0,9,42,942.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
13800,10.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,14.0,700000.0,7000000.0,200000.0,0.0,1.0,0.0,2.0,2.0,50.0,2.0
13828,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,33.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
14002,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,335.0,20.0,5.0,1.0,90000.0,700000.0,40000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
14046,4.0,4000000.0,400000.0,1600000.0,1000000.0,6,10,610.0,174.0,25.0,7.0,6.0,450000.0,9000000.0,250000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
14109,3.0,5100000.0,510000.0,2040000.0,1275000.0,7,3,73.0,Unknown,Unknown,Unknown,6.0,700000.0,2200000.0,300000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
14731,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,33.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
14785,3.0,5300000.0,230000.0,2925000.0,820000.0,8,15,815.0,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
14845,3.0,6000000.0,600000.0,2400000.0,1500000.0,25,19,2519.0,31.0,16.0,4.0,35.0,1500000.0,2500000.0,1000000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
15140,3.0,5200000.0,520000.0,2080000.0,1300000.0,7,10,710.0,55.0,10.0,2.0,9.0,400000.0,5000000.0,90000.0,0.0,0.0,0.0,2.0,2.0,10.0,1.0
15495,3.0,6000000.0,600000.0,2400000.0,1500000.0,6,12,612.0,8.0,19.0,5.0,15.0,3700000.0,5000000.0,1200000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
15731,3.0,4800000.0,480000.0,1920000.0,1200000.0,10,8,108.0,13.0,30.0,1.0,11.0,650000.0,3500000.0,550000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
15818,3.0,6000000.0,600000.0,2400000.0,1500000.0,8,67,867.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
15839,2.0,0.0,0.0,0.0,0.0,1,3,13.0,8.0,19.0,5.0,2.0,125000.0,355000.0,45000.0,0.0,0.0,0.0,2.0,2.0,65.0,1.0
15874,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,0.1,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,2.0
16033,3.0,3100000.0,100000.0,1450000.0,775000.0,6,2,62.0,31.0,16.0,4.0,6.0,270000.0,2430000.0,145000.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
16136,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,30.0,28.0,1.0,7.0,3500000.0,350000000.0,350000.0,1.0,0.0,0.0,2.0,2.0,50.0,2.0
16183,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,147.0,25.0,7.0,3.0,2200000.0,15000000.0,1300000.0,0.0,1.0,0.0,1.0,2.0,50.0,2.0
16193,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,2.0,225000.0,2200000.0,60000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
16298,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,24.0,9.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
16365,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,2000000.0,2200000.0,1850000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
16477,3.0,4800000.0,480000.0,1920000.0,1200000.0,3,10,310.0,1.0,33.0,2.0,10.0,1500000.0,5500000.0,350000.0,0.0,0.0,0.0,2.0,2.0,70.0,1.0
16661,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
16697,3.0,6000000.0,600000.0,2400000.0,1500000.0,7,5,75.0,335.0,20.0,5.0,10.0,350000.0,2150000.0,125000.0,0.0,0.0,0.0,2.0,2.0,25.0,1.0
16723,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,10.0,3.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
16781,8.0,3000000.0,300000.0,1200000.0,750000.0,6,15,615.0,59.0,25.0,7.0,16.0,2000000.0,18000000.0,20000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
16843,2.0,6000000.0,0.0,3000000.0,1500000.0,1,1,11.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
16884,6.0,7400000.0,600000.0,3800000.0,1500000.0,12,4,124.0,24.0,9.0,2.0,12.0,2160000.0,55000000.0,224000.0,0.0,0.0,0.0,2.0,2.0,70.0,1.0
16999,2.0,3000000.0,300000.0,1200000.0,750000.0,3,5,35.0,17.0,5.0,4.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,10.0,1.0
17002,3.0,6000000.0,200000.0,3100000.0,1200000.0,18,15,1815.0,26.0,29.0,1.0,12.0,5000000.0,25000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,85.0,1.0
17061,13.0,6000000.0,300000.0,2700000.0,1500000.0,32,10,3210.0,19.0,15.0,6.0,40.0,10000000.0,30000000.0,2.5,0.0,0.0,0.0,2.0,2.0,100.0,1.0
17079,4.0,3000000.0,0.0,1500000.0,0.0,4,5,45.0,Unknown,Unknown,Unknown,6.0,3000000.0,2200000.0,500000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
17367,3.0,3600000.0,360000.0,1440000.0,900000.0,6,0,60.0,1.0,33.0,2.0,6.0,350000.0,3500000.0,250000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
17528,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,170.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
17763,3.0,0.0,0.0,0.0,0.0,1,16,116.0,2.0,1.0,3.0,1.0,334000.0,1200000.0,142000.0,0.0,0.0,0.0,2.0,2.0,40.0,1.0
17833,3.0,1400000.0,200000.0,600000.0,300000.0,3,1,31.0,Unknown,Unknown,Unknown,6.0,55000.0,2200000.0,25000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
17943,6.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,224.0,1.0,3.0,6.0,208000.0,3510000.0,105000.0,0.0,0.0,1.0,1.0,2.0,50.0,2.0
17955,15.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
18066,3.0,9900000.0,990000.0,3960000.0,2475000.0,5,1,51.0,335.0,20.0,5.0,13.0,150000.0,1000000.0,30000.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0
18221,3.0,3800000.0,380000.0,1520000.0,950000.0,5,8,58.0,48.0,12.0,2.0,10.0,900000.0,9100000.0,406600.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
18250,5.0,6000000.0,600000.0,2900000.0,1000000.0,4,4,44.0,155.0,25.0,7.0,4.0,3840616.0,9000000.0,700000.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0
18278,3.0,6000000.0,400000.0,3600000.0,1000000.0,3,1,31.0,184.0,25.0,7.0,3.0,700000.0,7200000.0,10000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
18393,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,63.0,7.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
18449,5.0,5700000.0,0.0,4200000.0,500000.0,16,7,167.0,21.0,11.0,3.0,10.0,450000.0,5000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,90.0,1.0
18636,6.0,4200000.0,420000.0,1980000.0,750000.0,6,3,63.0,24.0,9.0,2.0,7.0,500000.0,5000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
18797,2.0,6000000.0,0.0,3000000.0,1500000.0,9,7,97.0,113.0,25.0,7.0,5.0,260000.0,2190000.0,115000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
18888,3.0,0.0,0.0,0.0,0.0,11,8,118.0,50.0,32.0,6.0,6.0,109000.0,1873732.0,2.5,0.0,0.0,0.0,2.0,2.0,20.0,1.0
19016,10.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,48.0,12.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
19307,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,217.0,28.0,1.0,4.0,250000.0,500000.0,50000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
19308,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,33.0,2.0,5.0,2870000.0,9730000.0,632000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
19349,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,3.0,31.0,1.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
19363,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,27.0,30.0,1.0,0.0,0.1,272000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,2.0
19379,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,34.0,10.0,2.0,0.0,30000.0,400000.0,25000.0,0.0,1.0,0.0,1.0,2.0,50.0,2.0
19515,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,0.1,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,2.0
19651,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,4.0,200000.0,2100000.0,120000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
19664,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,18.0,30.0,1.0,8.0,110000.0,210000.0,2.5,0.0,1.0,0.0,1.0,2.0,50.0,2.0
19867,3.0,8500000.0,850000.0,3400000.0,2125000.0,7,2,72.0,184.0,25.0,7.0,10.0,1500000.0,13500000.0,400000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
19951,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,26.0,29.0,1.0,5.0,450000.0,3000000.0,160000.0,0.0,1.0,0.0,1.0,2.0,50.0,2.0
19985,3.0,3000000.0,100000.0,1600000.0,650000.0,6,3,63.0,8.0,19.0,5.0,6.0,840000.0,2000000.0,280000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
20056,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,33.0,2.0,2.0,83500.0,800000.0,50000.0,0.0,1.0,0.0,2.0,2.0,50.0,2.0
20063,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
20134,25.0,0.0,0.0,0.0,0.0,3,5,35.0,32.0,9.0,2.0,8.0,54000.0,250000.0,60000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
20621,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,50.0,32.0,6.0,8.0,1920000.0,22800000.0,360000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
21092,3.0,2500000.0,250000.0,1000000.0,625000.0,4,3,43.0,41.0,21.0,5.0,8.0,150000.0,2000000.0,80000.0,0.0,0.0,0.0,2.0,2.0,90.0,1.0
21271,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
21617,12.0,4100000.0,410000.0,1640000.0,1025000.0,7,4,74.0,184.0,25.0,7.0,4.0,600000.0,8500000.0,700000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
21815,3.0,6000000.0,300000.0,3700000.0,1000000.0,15,12,1512.0,16.0,3.0,2.0,5.0,480000.0,4000000.0,300000.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0
21854,5.0,10000000.0,1000000.0,4000000.0,2500000.0,7,35,735.0,8.0,19.0,5.0,6.0,150000.0,3500000.0,55000.0,0.0,0.0,0.0,2.0,2.0,90.0,1.0
21879,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,152.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
21883,3.0,3000000.0,300000.0,1700000.0,250000.0,3,1,31.0,1.0,33.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
21978,12.0,0.0,0.0,0.0,0.0,14,4,144.0,Unknown,Unknown,Unknown,6.0,210000.0,2200000.0,30000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
22101,6.0,3700000.0,370000.0,1480000.0,925000.0,9,5,95.0,335.0,20.0,5.0,6.0,6000000.0,20000000.0,13000000.0,0.0,0.0,0.0,2.0,2.0,90.0,1.0
22268,3.0,5750000.0,300000.0,3200000.0,750000.0,5,1,51.0,19.0,15.0,6.0,6.0,700000.0,4000000.0,300000.0,0.0,0.0,0.0,2.0,2.0,45.0,1.0
22286,3.0,6000000.0,600000.0,2400000.0,1500000.0,8,50,850.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
22391,3.0,5500000.0,300000.0,3700000.0,750000.0,8,3,83.0,19.0,15.0,6.0,7.0,1100000.0,10000000.0,63500.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
22502,3.0,4800000.0,480000.0,2320000.0,800000.0,8,11,811.0,17.0,5.0,4.0,16.0,800000.0,5000000.0,250000.0,0.0,0.0,0.0,2.0,2.0,40.0,1.0
22546,3.0,4000000.0,100000.0,2200000.0,700000.0,10,25,1025.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
22810,10.0,4000000.0,400000.0,1600000.0,1000000.0,6,5,65.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
22852,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,65.0,4.0,3.0,12.0,800000.0,7000000.0,200000.0,0.0,0.0,0.0,1.0,1.0,50.0,2.0
22915,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,50.0,32.0,6.0,2.0,375000.0,1125000.0,675000.0,0.0,0.0,1.0,1.0,2.0,50.0,2.0
22928,2.0,5600000.0,560000.0,2240000.0,1400000.0,12,30,1230.0,196.0,4.0,3.0,5.0,200000.0,3000000.0,250000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
22948,3.0,4000000.0,400000.0,1600000.0,1000000.0,7,33,733.0,184.0,25.0,7.0,5.0,250000.0,3800000.0,300000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
23067,3.0,6200000.0,200000.0,3300000.0,1200000.0,4,1,41.0,30.0,28.0,1.0,4.0,270000.0,750000.0,82000.0,0.0,0.0,0.0,2.0,2.0,62.0,1.0
23193,13.0,6000000.0,200000.0,3100000.0,1200000.0,7,12,712.0,17.0,5.0,4.0,9.0,450000.0,4500000.0,50000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
23334,3.0,7600000.0,500000.0,5000000.0,800000.0,4,2,42.0,19.0,15.0,6.0,7.0,180000.0,2600000.0,75000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
23486,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,8.0,19.0,5.0,6.0,250000.0,800000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
23529,3.0,4600000.0,230000.0,2770000.0,800000.0,3,3,33.0,Unknown,Unknown,Unknown,6.0,480000.0,2200000.0,80000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
23531,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,33.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
23596,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
23636,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,3.0,31.0,1.0,4.0,200000.0,800000.0,40000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
23828,5.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,52.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
23832,3.0,7000000.0,200000.0,4300000.0,1250000.0,1,3,13.0,147.0,25.0,7.0,5.0,700000.0,3000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
23858,3.0,3800000.0,380000.0,1520000.0,950000.0,3,10,310.0,8.0,19.0,5.0,4.0,250000.0,1100000.0,95000.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
23893,3.0,4000000.0,400000.0,1600000.0,1000000.0,7,5,75.0,Unknown,Unknown,Unknown,6.0,114000.0,2200000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
23920,3.0,4800000.0,480000.0,1920000.0,1200000.0,4,4,44.0,334.0,37.0,5.0,8.0,234000.0,500000.0,100000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
24136,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,204.0,8.0,4.0,4.0,2500000.0,10000000.0,180000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
24246,3.0,6000000.0,600000.0,2900000.0,1000000.0,5,1,51.0,36.0,8.0,4.0,6.0,300000.0,7600000.0,200000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
24256,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
24477,7.0,0.0,0.0,0.0,0.0,6,2,62.0,Unknown,Unknown,Unknown,6.0,90000.0,2200000.0,25000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
24662,3.0,0.0,0.0,0.0,0.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,760.0,2200000.0,89.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
25070,2.0,7300000.0,730000.0,3920000.0,825000.0,3,5,35.0,18.0,30.0,1.0,2.0,200000.0,1200000.0,40000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
25141,4.0,3800000.0,250000.0,2550000.0,500000.0,4,5,45.0,49.0,25.0,7.0,8.0,2500000.0,4000000.0,230000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
25169,5.0,0.0,0.0,0.0,0.0,5,5,55.0,66.0,28.0,1.0,8.0,500000.0,10000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0
25255,3.0,5500000.0,500000.0,2500000.0,1250000.0,8,2,82.0,3.0,31.0,1.0,11.0,600000.0,2000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
25346,3.0,9200000.0,200000.0,5800000.0,1200000.0,17,6,176.0,Unknown,Unknown,Unknown,6.0,2000000.0,2200000.0,5400000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
25362,4.0,4800000.0,300000.0,2500000.0,1000000.0,6,10,610.0,50.0,32.0,6.0,10.0,1500000.0,8000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
25571,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
25637,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,55000.0,2200000.0,25000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
25809,3.0,6000000.0,600000.0,3000000.0,900000.0,7,5,75.0,31.0,16.0,4.0,10.0,1260000.0,1300000.0,200000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
25943,4.0,10000000.0,1000000.0,5300000.0,1200000.0,2,20,220.0,115.0,4.0,3.0,2.0,331500.0,990000.0,80000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
25961,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
26120,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
26233,2.0,5000000.0,300000.0,2200000.0,1250000.0,8,1,81.0,10.0,3.0,2.0,4.0,200000.0,1500000.0,50000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
26238,20.0,0.0,0.0,0.0,0.0,4,5,45.0,319.0,23.0,6.0,9.0,500000.0,9700000.0,250000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
26296,3.0,0.0,0.0,0.0,0.0,9,14,914.0,204.0,8.0,4.0,5.0,0.1,300000.0,2.5,0.0,0.0,0.0,2.0,2.0,30.0,1.0
26314,2.0,1500000.0,150000.0,600000.0,375000.0,4,1,41.0,1.0,33.0,2.0,4.0,500000.0,2000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
26408,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
26454,3.0,0.0,0.0,0.0,0.0,6,8,68.0,52.0,25.0,7.0,10.0,1500000.0,8000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
26649,13.0,6000000.0,200000.0,2400000.0,1700000.0,42,19,4219.0,184.0,25.0,7.0,76.0,2300000.0,29000000.0,300000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
26685,2.0,9600000.0,300000.0,4300000.0,2500000.0,12,4,124.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
26819,3.0,6000000.0,600000.0,2400000.0,1500000.0,4,2,42.0,184.0,25.0,7.0,16.0,680000.0,4000000.0,300000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
27152,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,36.0,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
27219,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,400000.0,2200000.0,250000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
27281,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
27349,3.0,4000000.0,400000.0,1600000.0,1000000.0,16,21,1621.0,Unknown,Unknown,Unknown,6.0,144000.0,2200000.0,25000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
27384,5.0,1800000.0,180000.0,720000.0,450000.0,8,5,85.0,1.0,33.0,2.0,5.0,150000.0,1500000.0,50000.0,0.0,0.0,0.0,2.0,2.0,90.0,1.0
27479,25.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
27487,3.0,3900000.0,400000.0,2000000.0,750000.0,9,12,912.0,8.0,19.0,5.0,15.0,450000.0,8000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,70.0,1.0
