firm_id,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant
438,128.0,25.0,7.0,16.0,4000000.0,30000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,50.0
450,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
458,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
585,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
622,19.0,15.0,6.0,5.0,370000.0,1468000.0,80000.0,0.0,0.0,0.0,1.0,2.0,50.0
651,41.0,21.0,5.0,6.0,550000.0,6000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,100.0
668,9.0,1.0,3.0,14.0,11500000.0,15000000.0,300000.0,0.0,0.0,0.0,2.0,2.0,70.0
683,Unknown,Unknown,Unknown,6.0,60000.0,2200000.0,40000.0,0.0,0.0,0.0,2.0,2.0,50.0
684,9.0,1.0,3.0,4.0,400000.0,5000000.0,180000.0,0.0,0.0,0.0,2.0,2.0,50.0
689,3.0,31.0,1.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
767,144.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
769,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
774,224.0,1.0,3.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0
805,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
877,152.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
886,318.0,23.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
